24,8/27/25,AP,,,,,,,0/6,12:12,,Last Day Rotifers. Paste. Begin B1,150k,,,,,,,,,,,,,,,10+5,,SOFT STOP,extend if needed,,,0.2,0.2,0.2,,,,,,,Check if larvae are big enough to start ENR Artemia,,,,,AR PODS,x4,,,,,,,,,,,,,,,,,,,,,43.86
25,8/28/25,AP,,,,,,,0/6,12:12,,,150k,,20mL 2x (1ton) or 80mL 2x (4ton),,,,,,,,,,,,,2+3,,reduce to 5 million,maybe 5 million instead of 15?,,,0.2,0.2,0.2,,,,,,,Not started today low on ENR,A2+B1,5x,soft start B1,continue if fish are not fluttering during siphon,AR PODS,x4,,,SIPHON,,,,,,,,,,,,,,,,,,43.57142857
26,8/29/25,JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,3+2,,,,,,0.2,0.2,0.2,,,0.025,0.025,0.025,,,A2+B1,5x,,"if not feeding B1, up AR PODS feeding",AR PODS,x4,,,65,,,,,,,,,,,,,,,,,,47.48
27,8/30/25,JB,,,,,,,0/6,12:12,,"ENR at 0.1, increasing as needed.",150k,,,,,,,,,,,,,,,3+2,,,,,,0.2,0.2,0.2,,,0.05,0.05,0.05,NH down to 0.1/mL and ENR @ 0.1/mL,,A2+B1,5x,,,AR PODS,x4,,,114,,,,,,,,,,,,,,,,,,43.35416667
28,8/31/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,3+2,,,,,,0.2,0.2,0.2,,,0.05,0.05,0.05,,,A2+B1,5x,,,AR PODS,x4,,,43,,,,,,,,,,,,,,,,,,39.8125
29,9/1/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,3+2,,,,,,0.2,0.2,0.2,,,0.05,0.05,0.05,,,A2+B1,5x,,,AR PODS,x4,,,59,,,,,,,,,,,,,,,,,,34.78
30,9/2/25,AP,,,,,,,0/6,12:12,,ENR only.  Up to 0.2,150k,,,,,,,,,,,,,,,3+2,,,,,,0.1,0.1,0.1,,,0.2,0.2,0.2,End NH. ENR @ 0.2 or 0.3/mL (depending on how good the tank looks),,A2+B1,5x,Full B1 Start,,AR PODS,x4,,,50,,,,,,,,,,,,,,,,,,31.4893617
31,9/3/25,JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,3+2,,,,,,0.1,0.1,0.1,,,0.2,0.2,0.2,,extend NH if needed,A2+B1,5x,,,AR PODS,x4,,,25,,,,,,,,,,,,,,,,,,36.6122449
32,9/4/25,JB,,,,,,,0/6,12:12,this tank is looking very good ,,150k,,,,,,,,,,,,,,,3+2,,,,,,0.1,0.1,0.1,,,0.2,0.2,0.2,2,,A2+B1,5x,,,AR PODS,x4,,,21,,,,,,,,,,,,,,,,,,34.71428571
33,9/5/25,JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,3+2,,,,,,0.1,0.1,0.1,,,0.2,0.2,0.2,,,A2+B1,5x,,,AR PODS,,,,13,,,,,,,,,,,,,,,,,,27.43478261
34,9/6/25,JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,3+2,,,,,,0.1,0.1,0.1,,,0.2,0.2,0.2,,,A2+B1,5x,,,AR PODS,,,,36,,,,,,,,,,,,,,,,,,24.48888889
35,9/7/25,JB,,,,,,,0/6,12:12,flutter. Light issues in the AM,Last Day A2,150k,,,,,,,,,,,,,,,3+2,,HARD STOP,,,,0.1,0.1,0.1,,,0.2,0.2,0.2,,,A2+B1,5x,Last Day A2,,AR PODS,,,,93,,,,,,,,,,,,,,,,,,21.84444444
36,9/8/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,off,off,off,,,0.3,0.3,0.3,,,A2+B1,5x,,,AR PODS,,,,55,,,,,,,,,,,,,,,,,,19.65853659
37,9/9/25,AP/JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,A2+B1,5x,,,AR PODS,,,,~140,,,,,,,,,,,,,,,,,,15.3
38,9/10/25,AP/JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,A2+B1,5x,,,AR PODS,,,,109,,,,,,,,,,,,,,,,,,12.12820513
39,9/11/25,AP/JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,A2+B1,5x,,,AR PODS,,,,~100,,,,,,,,,,,,,,,,,,10.05
40,9/12/25,JB,,,,,,,0/6,12:12,,Begin B2,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,Begin B2 dry feed (5x),,AR PODS,,,,32,,,,,,,,,,,,,,,,,,7.538461538
41,9/13/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,,,AR PODS,,,,61,,,,,,,,,,,,,,,,,,4.421052632
42,9/14/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,,,AR PODS,,,,30,,,,,,,,,,,,,,,,,,4.702702703
43,9/15/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,,,AR PODS,,,,64,,,,,,,,,,,,,,,,,,3.552631579
44,9/16/25,AP/JB,,,,,,,0/6,12:12,,Last day B1,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,Last day B1,,AR PODS,,,,50,,,,,,,,,,,,,,,,,,2.885714286
45,9/17/25,,,,,,,,0/6,12:12,Network down,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,,,AR PODS,,,,34,,,,,,,,,,,,,,,,,,1.888888889
46,9/18/25,AP/JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,Little extra,B1+B2,5x,,,AR PODS,,,,~150,,,,,,,,,,,,,,,,,,1.8
47,9/19/25,JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,,,AR PODS,,,,77,,,,,,,,,,,,,,,,,,1.472222222
48,9/20/25,JB,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,,,AR PODS,,,,23,,,,,,,,,,,,,,,,,,0.833333333
49,9/21/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B1+B2,5x,,,AR PODS,,,,47,,,,,,,,,,,,,,,,,,1.055555556
50,9/22/25,AP,,,,,,,0/6,12:12,Add Coral Rubble,Begin C1 and Flakes,75k,Off paste,extend if needed,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2,5x,Begin C1 ,,AR PODS,,,,62,,,,,,,,,,,,,,,,,,0.941176471
51,9/23/25,AP/JB,,,,,,,10,12:12,Increase flow rate to 10 LPM (1ton) or 40LPM (4ton),Off Algae if ready.,75k,,"Fluttering, keeping algae a few more days",,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,41,,,,,,,,,,,,,,,,,,
52,9/24/25,AP/JB,,,,,,,10,12:12,,Calafin X 2,75k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,2x,Begin Calafin (2x),,41,,,,,,,,,,,,,,,,,,
53,9/25/25,AP/JB,,,,,,,10,12:12,,,75k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,2x,,,26,,,,,,,,,,,,,,,,,,
54,9/26/25,JB,,,,,,,10,12:12,,,75k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,2x,,,26,,,,,,,,,,,,,,,,,,
55,9/27/25,JB,,,,,,,10,12:12,tried running at 3/6. still didn’t like it. Very hungry tank extra feed on everything,,75k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,End ENR (if doing well on other feeds),,B2+C1,5x,,,AR/calaf,2x,,,42,,,,,,,,,,,,,,,,,,
56,9/28/25,AP,,,,,,,10,12:12,,,75k,,"Accidentally had flow on for ~2 hours, didn't add extra- seemed okay",,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,2x,,,38,,,,,,,,,,,,,,,,,,
57,9/29/25,AP,,,,,,,10,12:12,,,75k,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,2x,Increase Calafin to 4x/day,,16,,,,,,,,,,,,,,,,,,
58,9/30/25,AP/JB,,,,,,,10,12:12,,Calafin X 4,off,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,36,,,,,,,,,,,,,,,,,,
59,10/1/25,AP/JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,22,,,,,,,,,,,,,,,,,,
60,10/2/25,AP/JB,,,,,,,10,12:12,,Last day B2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,Last day B2 dry feed,,AR/calaf,4x ,,,22,,,,,,,,,,,,,,,,,,
61,10/3/25,JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,16,,,,,,,,,,,,,,,,,,
62,10/4/25,,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,,,C1,5x,,,AR/calaf,4x ,,,16,,,,,,,,,,,,,,,,,,
63,10/5/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,7,,,,,,,,,,,,,,,,,,
64,10/6/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,8,,,,,,,,,,,,,,,,,,
65,10/7/25,AP/JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,0,,,,,,,,,,,,,,,,,,
66,10/8/25,AP/JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,1,,,,,,,,,,,,,,,,,,
67,10/9/25,AP/JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,0,,,,,,,,,,,,,,,,,,
68,10/10/25,JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,2,,,,,,,,,,,,,,,,,,
69,10/11/25,JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,0,,,,,,,,,,,,,,,,,,
70,10/12/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,4x ,,,2,,,,,,,,,,,,,,,,,,
71,10/13/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,3,,,,,,,,,,,,,,,,,,
72,10/14/25,AP/JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,4,,,,,,,,,,,,,,,,,,
73,10/15/25,JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,2,,,,,,,,,,,,,,,,,,
74,10/16/25,AP/JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,1,,,,,,,,,,,,,,,,,,
75,10/17/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
76,10/18/25,KH,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1,5x,,,AR/calaf,,,,1,,,,,,,,,,,,,,,,,,
77,10/19/25,AP,,,,,,,10,12:12,157 small and clear YT from T7 (run 38),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
78,10/20/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2/C2,5x,out  of C1,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
79,10/21/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2/C2,5x,,,AR/calaf,,,,2,,,,,,,,,,,,,,,,,,
80,10/22/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2/C2,5x,,,AR/calaf,,,,1,,,,,,,,,,,,,,,,,,
81,10/23/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2/C2,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
82,10/24/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2/C2,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
83,10/25/25,KH,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1,5x,,,AR/calaf,,,,,,,,,,,,,,,,,,,,,,
84,10/26/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2/C2,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
85,10/27/25,AP,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,"No ENR, high mortality in cylinder",B2/C2,5x,,Extra,AR/calaf,,Extra,,0,,,,,,,,,,,,,,,,,,
86,10/28/25,AP/JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2/C2,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
87,10/29/25,JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
88,10/30/25,JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,B2+C1,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
89,10/31/25,JB,,,,,,,10,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,b2+C1,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
90,11/1/25,JB,,,,,,,10,12:12,121 added from T9 (run 39),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,,,b2+C1,5x,,,AR/calaf,,,,0,,,,,,,,,,,,,,,,,,
91,11/2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1,5x,,,AR/calaf,,,,,,,,,,,,,,,,,,,,,,
92,11/3/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,11/4/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,11/5/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,11/6/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,11/7/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,11/8/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,11/9/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,11/10/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,11/11/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
